source,target,relation,confidence
function:05e52c77957b90db,test:0ae0d382b0a7472b,tested_by,medium
function:177612edc0e5b316,test:0ae0d382b0a7472b,tested_by,medium
function:1e0578a9d8b4bd0b,test:0ae0d382b0a7472b,tested_by,medium
function:296ca1747448a0e4,test:0ae0d382b0a7472b,tested_by,medium
function:2f4eafaaf1eb1966,test:0ae0d382b0a7472b,tested_by,medium
function:32a5b2b88e07f2e6,test:0ae0d382b0a7472b,tested_by,medium
function:4c35e12b5cf9e8e9,test:0ae0d382b0a7472b,tested_by,medium
function:5aca3a21e7f59be9,test:0ae0d382b0a7472b,tested_by,medium
function:6595836698bd05f9,test:0ae0d382b0a7472b,tested_by,medium
function:66bd392cafc5135e,test:0ae0d382b0a7472b,tested_by,medium
function:68b0a99e2699f07c,test:0ae0d382b0a7472b,tested_by,medium
function:6f746d411a17a0d7,test:0ae0d382b0a7472b,tested_by,medium
function:7f099d3bfd6dc0ca,test:0ae0d382b0a7472b,tested_by,medium
function:84db1b62dab6cbaa,test:0ae0d382b0a7472b,tested_by,medium
function:8937b19f9fd952c1,test:0ae0d382b0a7472b,tested_by,medium
function:9024258597f8b99c,test:0ae0d382b0a7472b,tested_by,medium
function:98ed13221c198cac,test:0ae0d382b0a7472b,tested_by,medium
function:b1276f9d450edbf7,test:0ae0d382b0a7472b,tested_by,medium
function:d62b1fdb89fb82fe,test:0ae0d382b0a7472b,tested_by,medium
function:dda08a0f0b65cdaa,test:0ae0d382b0a7472b,tested_by,medium
function:f65ab0e141e0836f,test:0ae0d382b0a7472b,tested_by,medium
function:f9278e2da07e4b01,test:0ae0d382b0a7472b,tested_by,medium
module:1b36edd812a3c3dc,function:087069da46e181ac,calls,low
module:1b36edd812a3c3dc,function:177612edc0e5b316,calls,low
module:1b36edd812a3c3dc,function:19d006662502b2a7,calls,low
module:1b36edd812a3c3dc,function:2a11cb6db0792980,calls,low
module:1b36edd812a3c3dc,function:472f5ef4bdeea9af,calls,low
module:1b36edd812a3c3dc,function:4b674f73047ffba2,calls,low
module:1b36edd812a3c3dc,function:4c35e12b5cf9e8e9,calls,low
module:1b36edd812a3c3dc,function:52d682c094de164d,calls,low
module:1b36edd812a3c3dc,function:8937b19f9fd952c1,calls,low
module:1b36edd812a3c3dc,function:b1276f9d450edbf7,calls,low
module:1b36edd812a3c3dc,function:c24dd7acee18c685,calls,low
module:1b36edd812a3c3dc,function:c4c3f39749bc056c,calls,low
module:1b36edd812a3c3dc,function:ce7ada500057b59e,calls,low
module:1b36edd812a3c3dc,function:e4cbc86e7bf94502,calls,low
module:1b36edd812a3c3dc,function:eea36408d1bacf45,calls,low
module:1b36edd812a3c3dc,function:f9278e2da07e4b01,calls,low
module:1b36edd812a3c3dc,function:08b2f046772219cc,contains,high
module:1b36edd812a3c3dc,function:47f2d0c75a50ace3,contains,high
module:1b36edd812a3c3dc,function:7b65a94f40172440,contains,high
module:1b36edd812a3c3dc,function:8a7b7dd9322e2e7e,contains,high
module:1b36edd812a3c3dc,module:8a9d051ddf4434e8,imports,high
module:1b36edd812a3c3dc,module:e24925f368cc1ab0,imports,high
module:1b36edd812a3c3dc,module:fb14a7ad51efacea,imports,high
module:1d95429c33db45d4,function:0687447be3335b11,calls,low
module:1d95429c33db45d4,function:165d8dc73b6e36db,calls,low
module:1d95429c33db45d4,function:177612edc0e5b316,calls,low
module:1d95429c33db45d4,function:19d006662502b2a7,calls,low
module:1d95429c33db45d4,function:1c91035d8d8e0649,calls,low
module:1d95429c33db45d4,function:1eb10320972355c3,calls,low
module:1d95429c33db45d4,function:28a46428905899f3,calls,low
module:1d95429c33db45d4,function:296ca1747448a0e4,calls,low
module:1d95429c33db45d4,function:2a11cb6db0792980,calls,low
module:1d95429c33db45d4,function:32a5b2b88e07f2e6,calls,low
module:1d95429c33db45d4,function:37801f195ce38071,calls,low
module:1d95429c33db45d4,function:4b674f73047ffba2,calls,low
module:1d95429c33db45d4,function:4c35e12b5cf9e8e9,calls,low
module:1d95429c33db45d4,function:55201d0e70cf1e30,calls,low
module:1d95429c33db45d4,function:5aca3a21e7f59be9,calls,low
module:1d95429c33db45d4,function:5ea161005df364d1,calls,low
module:1d95429c33db45d4,function:5ed3a3aaca06e34c,calls,low
module:1d95429c33db45d4,function:66bd392cafc5135e,calls,low
module:1d95429c33db45d4,function:74c703ae447c438e,calls,low
module:1d95429c33db45d4,function:809c79eb211075be,calls,low
module:1d95429c33db45d4,function:816b7ebc7c287d42,calls,low
module:1d95429c33db45d4,function:8937b19f9fd952c1,calls,low
module:1d95429c33db45d4,function:8998c92260259a99,calls,low
module:1d95429c33db45d4,function:8fbc1b2e766b36ca,calls,low
module:1d95429c33db45d4,function:996a9b2520b826f0,calls,low
module:1d95429c33db45d4,function:9ef0c4276fb7792a,calls,low
module:1d95429c33db45d4,function:a13f6482eed49284,calls,low
module:1d95429c33db45d4,function:aaff47cccbdd8584,calls,low
module:1d95429c33db45d4,function:ad3e89abd37e92ed,calls,low
module:1d95429c33db45d4,function:b1276f9d450edbf7,calls,low
module:1d95429c33db45d4,function:bbb676dd4c5cf064,calls,low
module:1d95429c33db45d4,function:c24dd7acee18c685,calls,low
module:1d95429c33db45d4,function:c25a694449da4ebf,calls,low
module:1d95429c33db45d4,function:c2e8f1f97169d80f,calls,low
module:1d95429c33db45d4,function:cc300ea2a67dd32a,calls,low
module:1d95429c33db45d4,function:ce7ada500057b59e,calls,low
module:1d95429c33db45d4,function:cf4ad07cde3912e8,calls,low
module:1d95429c33db45d4,function:d2fbdd6273ef882b,calls,low
module:1d95429c33db45d4,function:d8448cf0b7ac1250,calls,low
module:1d95429c33db45d4,function:d97292f65c41b773,calls,low
module:1d95429c33db45d4,function:da4537ae7dd7a105,calls,low
module:1d95429c33db45d4,function:db5951ffaa8bccf3,calls,low
module:1d95429c33db45d4,function:dbbc223a420de9d4,calls,low
module:1d95429c33db45d4,function:de232cf0ba86bfed,calls,low
module:1d95429c33db45d4,function:e079128c5795213e,calls,low
module:1d95429c33db45d4,function:e0b9b4cdf8068672,calls,low
module:1d95429c33db45d4,function:e1db735ec0cae25b,calls,low
module:1d95429c33db45d4,function:e4cbc86e7bf94502,calls,low
module:1d95429c33db45d4,function:ebf654f7d8646a2e,calls,low
module:1d95429c33db45d4,function:f9278e2da07e4b01,calls,low
module:1d95429c33db45d4,function:fee1953874a6a59b,calls,low
module:1d95429c33db45d4,class:694667ff3e9f6739,contains,high
module:1d95429c33db45d4,class:a17b722f2531eed1,contains,high
module:1d95429c33db45d4,function:0f3745abd3a2097c,contains,high
module:1d95429c33db45d4,function:1e9346e5f90b081b,contains,high
module:1d95429c33db45d4,function:42940eab8b454ae7,contains,high
module:1d95429c33db45d4,function:4f7ca859e21f20b1,contains,high
module:1d95429c33db45d4,function:7128f571633f34b0,contains,high
module:1d95429c33db45d4,function:7f5ace5e99ed5812,contains,high
module:1d95429c33db45d4,function:8ac7b6745dcdf56d,contains,high
module:1d95429c33db45d4,function:937c07d1636a170b,contains,high
module:1d95429c33db45d4,function:99e1690e78a686d4,contains,high
module:1d95429c33db45d4,function:9ebf0c7196298a30,contains,high
module:1d95429c33db45d4,function:b4d3baa6abd532cf,contains,high
module:1d95429c33db45d4,function:c9a7e6f2a6e1f9a0,contains,high
module:1d95429c33db45d4,function:d21d34e6d16e8c07,contains,high
module:1d95429c33db45d4,function:dc41c37642a46d76,contains,high
module:1d95429c33db45d4,function:e1467b33486ebe58,contains,high
module:1d95429c33db45d4,function:e593bcd1691a80f9,contains,high
module:1d95429c33db45d4,function:ebc1335151e74c11,contains,high
module:1d95429c33db45d4,function:ecf451b14b0ab64b,contains,high
module:1d95429c33db45d4,function:f33e5998176d992e,contains,high
module:1d95429c33db45d4,module:2700921fa4e493c2,imports,high
module:1d95429c33db45d4,module:4ab060d867cc5ffe,imports,high
module:1d95429c33db45d4,module:5b900734927bb8f9,imports,high
module:1d95429c33db45d4,module:609aec6e63ffb252,imports,high
module:1d95429c33db45d4,module:739262198de3ed6c,imports,high
module:1d95429c33db45d4,module:8a9d051ddf4434e8,imports,high
module:1d95429c33db45d4,module:a8825c5a8b08c503,imports,high
module:1d95429c33db45d4,module:ca1d3821174b749b,imports,high
module:1d95429c33db45d4,module:e24925f368cc1ab0,imports,high
module:1d95429c33db45d4,module:fb14a7ad51efacea,imports,high
module:20a7b63de0dbad90,function:186a872a707df4bb,calls,low
module:20a7b63de0dbad90,function:1e5738c17e020b21,calls,low
module:20a7b63de0dbad90,function:20d8a229454f5c61,calls,low
module:20a7b63de0dbad90,function:36eac73b6f0098e1,calls,low
module:20a7b63de0dbad90,function:42bc031aea2e7552,calls,low
module:20a7b63de0dbad90,function:5e7c303378b6914a,calls,low
module:20a7b63de0dbad90,function:888435642c50f7f5,calls,low
module:20a7b63de0dbad90,function:dbb6de81fb1f3c44,calls,low
module:20a7b63de0dbad90,function:9247cd1150fc3f1b,contains,high
module:20a7b63de0dbad90,module:2ac3edd639438ef9,imports,high
module:20a7b63de0dbad90,module:2b9a1bde326c5bdf,imports,high
module:20a7b63de0dbad90,module:5ede7b82b234296b,imports,high
module:20a7b63de0dbad90,module:71b71c9c0c44ccf2,imports,high
module:20a7b63de0dbad90,module:739262198de3ed6c,imports,high
module:20a7b63de0dbad90,module:795d910790834478,imports,high
module:20a7b63de0dbad90,module:8a7a81a8180e4b11,imports,high
module:20a7b63de0dbad90,module:a1324f6742b526f8,imports,high
module:20a7b63de0dbad90,module:e24925f368cc1ab0,imports,high
module:20a7b63de0dbad90,module:fb14a7ad51efacea,imports,high
module:264bb64c28c28811,function:087069da46e181ac,calls,low
module:264bb64c28c28811,function:239ced041ab39bce,calls,low
module:264bb64c28c28811,function:2f4eafaaf1eb1966,calls,low
module:264bb64c28c28811,function:66bd392cafc5135e,calls,low
module:264bb64c28c28811,function:68b0a99e2699f07c,calls,low
module:264bb64c28c28811,function:6f746d411a17a0d7,calls,low
module:264bb64c28c28811,function:7a6f61954d82a3a2,calls,low
module:264bb64c28c28811,function:9024258597f8b99c,calls,low
module:264bb64c28c28811,function:98ed13221c198cac,calls,low
module:264bb64c28c28811,function:aab804769544b040,calls,low
module:264bb64c28c28811,function:b1276f9d450edbf7,calls,low
module:264bb64c28c28811,function:c01653f1dbb4fc18,calls,low
module:264bb64c28c28811,function:db2833bf626e0718,calls,low
module:264bb64c28c28811,function:df3f51ef1c41f828,calls,low
module:264bb64c28c28811,function:eea36408d1bacf45,calls,low
module:264bb64c28c28811,function:f65ab0e141e0836f,calls,low
module:264bb64c28c28811,function:1735e75047526b5f,contains,high
module:264bb64c28c28811,function:2bbfd603c5fb5575,contains,high
module:264bb64c28c28811,function:5100f2ac878d190c,contains,high
module:264bb64c28c28811,function:6a743736649982fb,contains,high
module:264bb64c28c28811,function:dc377c2ef7044510,contains,high
module:264bb64c28c28811,module:739262198de3ed6c,imports,high
module:264bb64c28c28811,module:a458815faf1fc8b5,imports,high
module:264bb64c28c28811,module:a8825c5a8b08c503,imports,high
module:264bb64c28c28811,module:e24925f368cc1ab0,imports,high
module:264bb64c28c28811,module:fb14a7ad51efacea,imports,high
module:27c47a370ce0d9be,function:19d006662502b2a7,calls,low
module:27c47a370ce0d9be,function:2f4eafaaf1eb1966,calls,low
module:27c47a370ce0d9be,function:66bd392cafc5135e,calls,low
module:27c47a370ce0d9be,function:69e0764702d15a26,calls,low
module:27c47a370ce0d9be,function:6f746d411a17a0d7,calls,low
module:27c47a370ce0d9be,function:9024258597f8b99c,calls,low
module:27c47a370ce0d9be,function:98ed13221c198cac,calls,low
module:27c47a370ce0d9be,function:accfc5526e20020c,calls,low
module:27c47a370ce0d9be,function:c4c3f39749bc056c,calls,low
module:27c47a370ce0d9be,function:cf4ad07cde3912e8,calls,low
module:27c47a370ce0d9be,function:e1aa128a6241fba0,calls,low
module:27c47a370ce0d9be,function:f65ab0e141e0836f,calls,low
module:27c47a370ce0d9be,function:f9278e2da07e4b01,calls,low
module:27c47a370ce0d9be,function:6328aa9ed9457ea1,contains,high
